efficiency_category,has_balcony,has_elevator,has_garage,property_state,building_type,area,prague_district,rooms,floor,price
Třída G,False,False,False,Novostavba,Cihlová,145,5007.0,3+kk,1,48000.0
Other,False,False,False,Velmi dobrý,Cihlová,93,5007.0,3+kk,3,41000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,95,5002.0,3+kk,4,26000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,42,5002.0,2+kk,5,24000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,40,5002.0,1+1,2,21000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,93,5002.0,3+kk,5,40000.0
Třída G,False,True,False,Velmi dobrý,Panelová,66,5008.0,3+1,10,16000.0
Other,False,False,False,Po rekonstrukci,Panelová,45,5004.0,2+kk,4,14000.0
Třída C,False,True,False,Po rekonstrukci,Cihlová,91,5005.0,3+kk,4,34000.0
Třída G,True,False,False,Velmi dobrý,Cihlová,28,5009.0,1+kk,2,7700.0
Třída G,False,True,False,Velmi dobrý,Cihlová,143,5004.0,3+1,3,33000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,28,5009.0,1+kk,3,11800.0
Třída G,False,True,True,Novostavba,Cihlová,47,5010.0,2+kk,4,14000.0
Třída C,True,True,False,Novostavba,Cihlová,50,5005.0,2+kk,1,14500.0
Other,False,True,False,Velmi dobrý,Cihlová,44,5003.0,2+kk,2,14500.0
Třída G,False,False,False,Velmi dobrý,Cihlová,45,5006.0,2+kk,4,15000.0
Other,True,True,False,Novostavba,Cihlová,89,5009.0,3+kk,2,24000.0
Třída C,False,False,False,Novostavba,Cihlová,22,5004.0,1+kk,3,10533.0
Other,True,False,False,Velmi dobrý,Cihlová,55,5006.0,2+1,4,16000.0
Třída B,True,True,True,Novostavba,Cihlová,54,5004.0,2+kk,2,16900.0
Třída G,False,True,False,Velmi dobrý,Cihlová,58,5002.0,2+kk,3,18000.0
Třída C,False,False,True,Po rekonstrukci,Cihlová,70,5004.0,3+1,3,15900.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,204,5001.0,6 a vice,3,55000.0
Other,False,True,False,Novostavba,Cihlová,38,5009.0,1+kk,2,14500.0
Třída C,False,False,False,Po rekonstrukci,Cihlová,65,5008.0,3+kk,2,16500.0
Other,False,False,False,Velmi dobrý,Cihlová,25,5003.0,1+kk,4,8500.0
Other,True,True,False,Other,Cihlová,208,5006.0,5+1,3,70000.0
Třída B,False,True,False,Velmi dobrý,Skeletová,219,5005.0,4+kk,7,70000.0
Třída C,False,True,False,Velmi dobrý,Cihlová,80,5001.0,3+kk,4,26000.0
Other,False,False,False,Velmi dobrý,Cihlová,51,5004.0,2+kk,2,12500.0
Třída F,False,True,True,Novostavba,Cihlová,47,5008.0,1+kk,6,15500.0
Třída E,False,False,False,Velmi dobrý,Cihlová,55,5010.0,2+kk,5,16000.0
Other,False,False,False,Other,Cihlová,42,5009.0,1+1,1,8500.0
Třída B,True,True,True,Novostavba,Cihlová,144,5005.0,4+kk,4,53000.0
Třída B,True,True,False,Novostavba,Cihlová,75,5005.0,3+kk,1,19000.0
Třída B,True,True,True,Novostavba,Cihlová,60,5009.0,2+kk,3,18900.0
Třída B,True,True,True,Novostavba,Cihlová,40,5005.0,1+kk,3,16000.0
Třída B,False,False,False,Novostavba,Cihlová,55,5005.0,2+kk,5,31000.0
Třída B,False,False,False,Novostavba,Cihlová,30,5005.0,1+kk,3,24500.0
Třída B,False,True,False,Novostavba,Cihlová,104,5006.0,3+kk,6,39000.0
Třída B,False,False,False,Novostavba,Cihlová,50,5005.0,2+kk,4,31000.0
Třída B,False,False,False,Novostavba,Cihlová,25,5005.0,1+kk,2,24500.0
Třída B,False,True,False,Velmi dobrý,Cihlová,66,5001.0,2+kk,4,35000.0
Třída B,False,False,False,Novostavba,Cihlová,50,5005.0,2+kk,2,28000.0
Třída B,False,True,False,Po rekonstrukci,Cihlová,69,5001.0,3+kk,1,31000.0
Třída B,False,True,True,Novostavba,Cihlová,86,5002.0,2+kk,5,44700.0
Třída B,True,False,True,Novostavba,Cihlová,35,5002.0,1+kk,3,23200.0
Třída B,True,True,True,Novostavba,Cihlová,85,5008.0,3+kk,4,38000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,66,5002.0,2+kk,1,27000.0
Třída B,True,True,True,Novostavba,Cihlová,85,5008.0,3+kk,4,38000.0
Třída B,False,True,False,Velmi dobrý,Cihlová,45,5002.0,1+1,2,21000.0
Třída B,True,True,True,Po rekonstrukci,Cihlová,56,5002.0,3+kk,3,42000.0
Třída B,False,True,False,Novostavba,Cihlová,65,5001.0,2+kk,3,27000.0
Třída B,True,True,True,Novostavba,Cihlová,144,5005.0,4+kk,3,48000.0
Třída G,False,True,False,Po rekonstrukci,Panelová,60,5004.0,3+kk,12,15490.0
Třída C,False,True,False,Velmi dobrý,Cihlová,86,5003.0,2+1,4,24000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,110,5002.0,3+1,4,25000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,36,5008.0,2+kk,1,14500.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,90,5001.0,2+1,5,23000.0
Třída G,True,False,False,Velmi dobrý,Cihlová,110,5010.0,4+1,4,42000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,49,5003.0,1+kk,0,14500.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,50,5002.0,2+1,3,17000.0
Třída C,False,False,False,Po rekonstrukci,Cihlová,35,5003.0,2+kk,1,16000.0
Třída B,True,False,True,Novostavba,Cihlová,44,5004.0,1+kk,4,13700.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,145,5001.0,3+1,4,60000.0
Třída B,False,False,False,Novostavba,Cihlová,40,5009.0,1+kk,1,14900.0
Třída B,False,True,False,Novostavba,Cihlová,32,5002.0,1+kk,1,22900.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,78,5004.0,2+kk,1,20000.0
Třída B,False,False,True,Novostavba,Skeletová,71,5003.0,2+kk,4,23000.0
Třída B,False,False,True,Novostavba,Skeletová,66,5003.0,2+kk,2,23000.0
Třída B,True,False,True,Novostavba,Cihlová,47,5002.0,2+kk,2,30900.0
Třída G,False,False,False,Velmi dobrý,Cihlová,86,5002.0,2+1,4,25000.0
Třída B,True,False,True,Novostavba,Smíšená,56,5007.0,2+kk,2,25000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,83,5007.0,2+1,3,18000.0
Třída C,False,True,True,Po rekonstrukci,Panelová,32,5005.0,1+1,2,12700.0
Třída B,True,True,True,Velmi dobrý,Skeletová,57,5007.0,2+kk,8,20000.0
Třída G,True,True,False,Novostavba,Cihlová,63,5009.0,2+kk,4,13500.0
Třída G,False,False,False,Velmi dobrý,Panelová,74,5010.0,3+1,2,20000.0
Třída D,False,False,False,Po rekonstrukci,Cihlová,42,5005.0,2+kk,2,12500.0
Třída B,True,True,False,Po rekonstrukci,Cihlová,66,5002.0,2+kk,2,23400.0
Třída G,False,True,False,Velmi dobrý,Cihlová,90,5002.0,3+kk,3,40000.0
Třída G,True,True,False,Other,Cihlová,140,5001.0,3+kk,2,59000.0
Other,True,True,False,Other,Cihlová,220,5001.0,4+1,1,180000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,100,5001.0,3+1,1,40000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,92,5001.0,3+kk,1,71624.0
Třída G,True,True,False,Other,Cihlová,124,5001.0,4+1,2,81856.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,120,5001.0,3+1,6,99762.0
Other,True,True,False,Other,Cihlová,176,5001.0,5+1,2,60000.0
Other,True,True,False,Po rekonstrukci,Cihlová,65,5001.0,2+kk,3,35000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,50,5007.0,2+kk,4,14500.0
Třída G,True,True,False,Velmi dobrý,Panelová,78,5005.0,3+1,6,24600.0
Other,False,True,False,Novostavba,Skeletová,31,5005.0,1+1,5,13000.0
Třída G,True,False,True,Novostavba,Cihlová,43,5009.0,2+kk,3,10000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,88,5004.0,3+kk,3,19500.0
Other,False,False,False,Velmi dobrý,Cihlová,30,5005.0,1+1,2,9000.0
Třída C,False,False,False,Velmi dobrý,Cihlová,67,5010.0,2+1,3,18000.0
Třída C,False,True,False,Other,Smíšená,65,5004.0,2+1,5,13000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,54,5010.0,2+kk,5,16999.0
Třída B,False,True,True,Novostavba,Cihlová,48,5009.0,1+kk,7,13990.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,99,5004.0,3+kk,1,18375.0
Třída G,False,True,False,Velmi dobrý,Panelová,45,5005.0,2+kk,8,14000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,25,5010.0,1+kk,1,9500.0
Třída G,False,False,False,Velmi dobrý,Cihlová,77,5005.0,2+kk,3,16000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,64,5005.0,2+1,3,19000.0
Třída B,True,False,True,Novostavba,Smíšená,60,5009.0,2+kk,5,15500.0
Třída G,False,False,False,Other,Smíšená,40,5007.0,1+1,4,12000.0
Třída G,False,True,False,Other,Cihlová,55,5002.0,2+kk,4,19000.0
Třída E,False,False,False,Other,Cihlová,102,5002.0,3+kk,2,25000.0
Třída G,False,False,False,Other,Cihlová,56,5008.0,2+1,2,16500.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,90,5002.0,2+1,4,28000.0
Třída G,False,False,False,Other,Cihlová,68,5003.0,2+1,3,14000.0
Třída C,False,False,False,Other,Panelová,26,5010.0,1+kk,1,10500.0
Třída B,True,True,False,Novostavba,Cihlová,38,5005.0,1+kk,2,12600.0
Třída G,False,True,False,Velmi dobrý,Cihlová,108,5007.0,3+1,5,35000.0
Třída B,True,True,True,Novostavba,Cihlová,34,5004.0,1+kk,2,12900.0
Třída G,False,True,False,Velmi dobrý,Cihlová,94,5007.0,4+kk,5,35000.0
Třída G,False,True,True,Novostavba,Cihlová,70,5010.0,4+kk,8,25000.0
Třída G,True,False,False,Velmi dobrý,Cihlová,127,5009.0,3+kk,8,26999.0
Třída B,False,True,True,Novostavba,Skeletová,99,5009.0,4+kk,2,27000.0
Třída C,False,False,False,Po rekonstrukci,Panelová,42,5004.0,2+kk,7,14500.0
Other,False,False,False,Velmi dobrý,Cihlová,87,5001.0,3+1,1,29000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,13,5003.0,1+kk,2,13000.0
Třída G,False,False,False,Novostavba,Cihlová,60,5009.0,2+kk,7,15500.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,12,5005.0,1+kk,2,12700.0
Třída G,True,True,False,Velmi dobrý,Cihlová,66,5009.0,3+kk,3,17000.0
Other,False,False,False,Po rekonstrukci,Cihlová,9,5003.0,1+kk,2,10000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,31,5005.0,1+1,1,14000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,20,5003.0,1+kk,4,12900.0
Other,False,True,False,Po rekonstrukci,Cihlová,10,5005.0,1+kk,6,12000.0
Třída G,False,False,False,Other,Smíšená,64,5010.0,2+kk,2,16500.0
Třída B,False,True,False,Velmi dobrý,Skeletová,38,5009.0,1+kk,6,13500.0
Třída C,True,True,False,Velmi dobrý,Cihlová,64,5003.0,2+kk,2,18300.0
Třída G,True,True,True,Novostavba,Cihlová,91,5006.0,3+kk,6,26000.0
Třída G,False,False,False,Velmi dobrý,Panelová,71,5006.0,3+kk,6,16500.0
Třída C,True,True,True,Novostavba,Cihlová,186,5008.0,5+1,5,39000.0
Třída G,True,False,False,Velmi dobrý,Cihlová,50,5004.0,2+kk,3,22000.0
Třída C,True,True,False,Novostavba,Cihlová,25,5008.0,1+kk,6,9900.0
Třída G,False,True,False,Velmi dobrý,Panelová,36,5006.0,1+kk,9,12000.0
Other,True,False,True,Velmi dobrý,Cihlová,74,5010.0,3+kk,3,20000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,54,5009.0,2+kk,2,14000.0
Třída D,False,True,False,Velmi dobrý,Cihlová,62,5006.0,2+kk,2,18000.0
Other,True,False,False,Velmi dobrý,Cihlová,75,5004.0,2+kk,3,16900.0
Třída B,False,True,True,Velmi dobrý,Cihlová,77,5009.0,3+kk,4,20000.0
Other,False,False,False,Other,Cihlová,82,5003.0,3+1,2,22000.0
Other,False,True,False,Velmi dobrý,Cihlová,44,5005.0,2+kk,2,19000.0
Třída C,False,False,False,Velmi dobrý,Panelová,43,5005.0,2+kk,9,14000.0
Třída C,False,False,False,Novostavba,Cihlová,43,5009.0,2+kk,1,14000.0
Třída E,False,False,False,Other,Cihlová,43,5004.0,1+1,2,8500.0
Třída G,True,False,False,Velmi dobrý,Cihlová,90,5005.0,3+kk,3,30000.0
Třída G,False,False,False,Velmi dobrý,Other,55,5005.0,2+1,1,13200.0
Třída D,False,True,False,Velmi dobrý,Panelová,41,5004.0,2+kk,4,13500.0
Třída C,False,True,False,Velmi dobrý,Cihlová,39,5004.0,1+kk,4,12000.0
Třída B,True,True,True,Novostavba,Cihlová,63,5009.0,2+kk,5,18000.0
Třída B,True,True,True,Novostavba,Cihlová,56,5008.0,2+kk,6,17000.0
Třída B,True,True,True,Novostavba,Cihlová,55,5010.0,2+kk,4,15000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,75,5005.0,3+kk,3,20500.0
Třída D,False,False,False,Velmi dobrý,Cihlová,112,5007.0,3+1,3,28000.0
Other,True,False,True,Velmi dobrý,Cihlová,113,5009.0,4+kk,4,30000.0
Třída A,True,True,True,Velmi dobrý,Cihlová,130,5005.0,4+kk,20,35000.0
Třída C,True,False,False,Po rekonstrukci,Panelová,55,5010.0,2+1,5,14000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,62,5002.0,2+kk,5,23000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,49,5004.0,2+kk,1,17000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,34,5002.0,1+1,7,13500.0
Třída C,False,True,False,Velmi dobrý,Panelová,43,5008.0,2+1,12,15000.0
Třída B,False,True,False,Novostavba,Cihlová,100,5009.0,3+kk,5,25000.0
Other,False,False,False,Velmi dobrý,Panelová,107,5009.0,5+1,2,21000.0
Other,True,True,False,Novostavba,Skeletová,106,5006.0,3+kk,2,29000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,58,5004.0,2+kk,2,13000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,55,5003.0,2+kk,5,17900.0
Třída G,False,False,False,Other,Cihlová,140,5005.0,atypicky,5,25000.0
Třída G,False,False,False,Velmi dobrý,Panelová,29,5004.0,1+1,8,10900.0
Třída G,False,False,False,Velmi dobrý,Cihlová,28,5002.0,1+kk,2,18500.0
Třída G,True,False,False,Velmi dobrý,Smíšená,152,5006.0,4+1,3,48000.0
Třída G,True,True,True,Velmi dobrý,Cihlová,84,5005.0,3+kk,2,29000.0
Třída G,False,True,True,Velmi dobrý,Smíšená,105,5005.0,3+kk,2,30000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,45,5001.0,2+kk,1,18000.0
Třída G,True,True,False,Novostavba,Cihlová,39,5009.0,1+kk,2,14500.0
Třída E,True,True,False,Po rekonstrukci,Smíšená,81,5007.0,3+kk,4,35000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,227,5003.0,4+kk,7,100000.0
Other,False,False,False,Other,Cihlová,30,5006.0,1+kk,4,11500.0
Other,False,True,False,Po rekonstrukci,Cihlová,130,5001.0,3+1,3,39900.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,105,5004.0,3+kk,6,20000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,62,5004.0,3+1,2,19500.0
Třída G,True,False,False,Velmi dobrý,Panelová,35,5010.0,1+kk,10,15000.0
Třída G,True,True,True,Velmi dobrý,Cihlová,172,5002.0,5+1,4,79000.0
Other,True,True,True,Velmi dobrý,Cihlová,115,5007.0,4+1,4,45000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,43,5003.0,2+kk,5,15000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,55,5004.0,2+1,4,15000.0
Třída C,False,True,False,Velmi dobrý,Cihlová,49,5006.0,2+kk,5,14000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,10,5003.0,unknown_byUs,2,11000.0
Třída C,True,True,False,Novostavba,Cihlová,52,5006.0,2+kk,4,17900.0
Třída G,True,True,False,Novostavba,Cihlová,56,5009.0,2+kk,3,16000.0
Třída G,True,False,True,Velmi dobrý,Cihlová,150,5010.0,4+kk,4,35000.0
Other,False,True,False,Velmi dobrý,Cihlová,31,5007.0,1+kk,6,16000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,75,5009.0,3+kk,3,21000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,65,5001.0,2+1,2,25580.0
Other,True,True,False,Novostavba,Cihlová,34,5009.0,1+kk,2,12000.0
Třída B,False,False,False,Novostavba,Cihlová,39,5004.0,1+kk,8,11950.0
Třída C,False,False,False,Po rekonstrukci,Cihlová,47,5007.0,2+kk,4,13500.0
Třída G,False,True,False,Novostavba,Skeletová,66,5006.0,2+kk,1,15000.0
Třída G,False,True,False,Velmi dobrý,Panelová,40,5009.0,1+1,7,14000.0
Třída G,True,True,False,Novostavba,Cihlová,28,5009.0,1+kk,3,12500.0
Třída G,False,False,False,Velmi dobrý,Cihlová,73,5008.0,3+1,1,29000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,29,5004.0,1+kk,5,12000.0
Třída G,True,False,False,Po rekonstrukci,Panelová,93,5009.0,4+kk,3,18000.0
Třída G,True,False,False,Po rekonstrukci,Cihlová,40,5009.0,1+kk,3,11000.0
Třída E,False,True,False,Velmi dobrý,Cihlová,58,5004.0,1+1,5,13000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,35,5002.0,1+kk,4,14200.0
Other,False,False,False,Velmi dobrý,Cihlová,65,5008.0,2+1,1,14000.0
Třída C,True,True,False,Velmi dobrý,Cihlová,55,5010.0,2+1,2,16200.0
Třída C,False,True,False,Velmi dobrý,Cihlová,41,5002.0,1+1,2,13000.0
Other,False,True,False,Velmi dobrý,Panelová,70,5004.0,2+kk,8,19000.0
Třída C,False,True,True,Other,Panelová,81,5005.0,3+1,5,15000.0
Other,False,True,False,Other,Cihlová,39,5004.0,1+kk,3,13000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,71,5005.0,3+1,4,18000.0
Třída D,False,True,False,Velmi dobrý,Panelová,74,5004.0,3+kk,4,16000.0
Třída G,True,True,False,Novostavba,Cihlová,32,5009.0,1+kk,6,13000.0
Třída F,True,False,False,Velmi dobrý,Cihlová,43,5005.0,2+kk,4,15000.0
Třída C,False,True,False,Other,Panelová,41,5004.0,2+kk,8,10500.0
Třída G,False,False,False,Novostavba,Cihlová,68,5010.0,2+kk,2,15900.0
Třída G,True,True,False,Velmi dobrý,Cihlová,75,5007.0,3+1,3,24000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,17,5002.0,1+kk,3,11500.0
Třída G,False,False,False,Po rekonstrukci,Smíšená,38,5004.0,2+kk,3,13500.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,35,5004.0,2+kk,4,15000.0
Třída D,False,True,False,Po rekonstrukci,Cihlová,68,5010.0,3+kk,4,27500.0
Třída G,False,True,False,Velmi dobrý,Panelová,76,5004.0,3+1,4,18000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,88,5007.0,3+kk,5,24000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,101,5006.0,3+1,2,22000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,118,5002.0,3+1,2,31000.0
Other,False,False,False,Velmi dobrý,Cihlová,40,5008.0,1+kk,3,12200.0
Třída G,False,True,False,Velmi dobrý,Cihlová,90,5002.0,2+1,4,28000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,55,5002.0,2+kk,2,15000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,50,5006.0,2+kk,2,16000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,74,5007.0,3+kk,2,26000.0
Třída C,True,False,False,Novostavba,Cihlová,35,5010.0,1+kk,5,14500.0
Třída G,False,False,False,Velmi dobrý,Cihlová,80,5003.0,2+1,1,13500.0
Třída G,False,False,False,Po rekonstrukci,Panelová,55,5010.0,2+1,2,13000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,35,5006.0,1+kk,2,12500.0
Třída E,True,False,False,Po rekonstrukci,Cihlová,72,5003.0,3+kk,4,19000.0
Třída B,False,True,False,Novostavba,Cihlová,60,5005.0,2+kk,4,18500.0
Other,False,True,False,Other,Cihlová,65,5010.0,2+kk,4,19000.0
Other,False,False,False,Velmi dobrý,Cihlová,53,5004.0,2+kk,1,15000.0
Třída B,False,True,False,Velmi dobrý,Panelová,43,5004.0,1+1,7,14000.0
Other,False,True,False,Po rekonstrukci,Cihlová,57,5010.0,3+kk,2,20000.0
Třída C,True,False,False,Velmi dobrý,Cihlová,85,5006.0,3+kk,2,22000.0
Other,False,True,False,Velmi dobrý,Panelová,43,5004.0,2+kk,3,13900.0
Třída G,True,True,False,Velmi dobrý,Cihlová,95,5002.0,3+kk,2,38000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,133,5002.0,4+1,3,41000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,28,5010.0,1+kk,4,13500.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,70,5002.0,2+kk,3,25000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,218,5002.0,5+1,6,49000.0
Other,False,False,False,Velmi dobrý,Cihlová,45,5005.0,2+kk,0,13200.0
Třída C,True,True,False,Novostavba,Cihlová,76,5006.0,3+kk,4,22000.0
Other,False,False,False,Velmi dobrý,Cihlová,86,5007.0,3+1,2,24000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,137,5001.0,3+kk,5,40000.0
Třída G,False,True,False,Velmi dobrý,Panelová,64,5004.0,3+kk,7,15000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,60,5004.0,2+kk,3,16000.0
Třída C,False,True,False,Velmi dobrý,Panelová,43,5004.0,1+1,1,13000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,20,5006.0,1+kk,2,8950.0
Třída G,False,False,False,Novostavba,Cihlová,33,5007.0,2+kk,4,15000.0
Other,True,False,False,Velmi dobrý,Cihlová,75,5003.0,3+1,5,22000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,107,5002.0,3+1,6,38000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,121,5002.0,3+1,6,35000.0
Other,False,True,False,Velmi dobrý,Cihlová,103,5002.0,3+1,1,39000.0
Other,True,True,False,Velmi dobrý,Cihlová,126,5002.0,3+1,6,35000.0
Třída G,False,True,True,Po rekonstrukci,Cihlová,93,5002.0,3+kk,6,40000.0
Třída G,False,True,True,Po rekonstrukci,Cihlová,110,5002.0,3+kk,6,40000.0
Třída B,False,True,True,Novostavba,Cihlová,56,5008.0,2+kk,1,16990.0
Other,True,True,True,Novostavba,Cihlová,56,5006.0,2+kk,4,19900.0
Třída G,False,True,False,Velmi dobrý,Cihlová,115,5007.0,3+1,6,23000.0
Třída G,False,True,False,Po rekonstrukci,Smíšená,37,5003.0,2+kk,3,18000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,55,5004.0,2+kk,2,15000.0
Třída G,False,False,False,Other,Cihlová,37,5003.0,1+1,2,11500.0
Třída G,False,True,True,Velmi dobrý,Cihlová,110,5001.0,3+1,5,50000.0
Třída G,False,True,True,Novostavba,Cihlová,64,5008.0,2+kk,3,18000.0
Třída G,True,True,True,Velmi dobrý,Cihlová,202,5002.0,5+1,5,85000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,94,5005.0,3+1,3,42000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,184,5001.0,5+1,1,95000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,103,5001.0,3+1,2,52000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,94,5001.0,2+1,1,40000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,200,5001.0,4+1,6,90000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,225,5010.0,5+1,6,55000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,106,5007.0,3+kk,5,38000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,145,5001.0,4+1,2,65000.0
Třída G,False,True,False,Other,Cihlová,138,5001.0,3+kk,5,50000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,183,5001.0,6 a vice,3,70000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,54,5002.0,2+kk,1,27000.0
Třída E,False,True,False,Other,Cihlová,110,5001.0,3+1,4,55000.0
Other,False,True,False,Other,Cihlová,75,5002.0,2+kk,3,32000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,202,5002.0,5+1,5,85000.0
Other,True,True,False,Po rekonstrukci,Cihlová,94,5005.0,3+1,3,42000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,143,5003.0,3+1,4,45000.0
Other,False,False,False,Other,Cihlová,184,5001.0,4+1,0,95000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,100,5005.0,3+kk,5,30000.0
Other,True,True,False,Velmi dobrý,Cihlová,160,5001.0,3+1,4,90000.0
Other,True,True,False,Velmi dobrý,Cihlová,343,5002.0,5+kk,4,175000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,179,5002.0,5+1,2,53700.0
Other,False,False,False,Velmi dobrý,Cihlová,46,5001.0,2+kk,2,25000.0
Třída G,False,True,False,Other,Cihlová,64,5001.0,3+kk,1,32000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,88,5002.0,2+kk,4,32000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,140,5001.0,4+kk,5,50000.0
Other,False,True,False,Other,Cihlová,70,5001.0,2+kk,2,34500.0
Other,False,False,False,Other,Cihlová,107,5002.0,3+1,5,38000.0
Other,False,True,False,Novostavba,Cihlová,104,5001.0,3+1,1,52000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,194,5001.0,5+1,2,69000.0
Třída F,False,True,False,Velmi dobrý,Cihlová,144,5001.0,4+kk,5,58000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,172,5001.0,5+kk,1,59000.0
Other,False,True,False,Other,Cihlová,94,5001.0,2+1,0,40000.0
Třída E,False,True,False,Po rekonstrukci,Cihlová,200,5001.0,4+1,5,90000.0
Other,False,True,False,Other,Cihlová,225,5010.0,5+1,4,55000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,203,5001.0,4+1,5,90000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,240,5003.0,4+1,5,70000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,92,5001.0,2+kk,0,47000.0
Třída D,False,True,False,Velmi dobrý,Smíšená,150,5005.0,5+kk,5,48000.0
Třída G,True,True,False,Other,Cihlová,130,5001.0,3+1,1,49000.0
Other,False,True,True,Novostavba,Cihlová,75,5006.0,2+kk,1,28000.0
Třída B,False,False,False,Velmi dobrý,Cihlová,150,5010.0,5+1,3,25000.0
Třída G,False,False,True,Novostavba,Cihlová,57,5005.0,2+kk,2,22000.0
Třída G,False,True,False,Novostavba,Smíšená,29,5010.0,1+kk,3,10500.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,65,5002.0,3+kk,5,35000.0
Other,False,True,False,Po rekonstrukci,Cihlová,159,5001.0,4+kk,6,105000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,125,5002.0,4+kk,5,42000.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,130,5006.0,4+1,2,35000.0
